Phone Number,Customer_Category,Priority_Score,Priority_Level,Customer_Value_Score,Satisfaction_Score,Risk_Score,Upsell_Priority_Encoded
382-4657,STANDARD_UPSELL,30.88517548709341,LOW,0.017703509741868184,0.3,0.0,5
371-7191,STANDARD_UPSELL,30.644600588542172,LOW,0.01289201177084341,0.3,0.2,5
358-1921,DO_NOT_DISTURB,4.5,MINIMAL,0.013928053769441952,0.7,0.2,0
375-9999,STANDARD_UPSELL,30.72109886700561,LOW,0.014421977340112252,0.3,0.2,5
330-6626,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.010294599311124569,0.3,0.5,1
391-8027,DO_NOT_DISTURB,4.5,MINIMAL,0.015321673189536835,0.7,0.2,0
355-9993,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.018487270694720562,0.3,0.3,1
329-9001,DO_NOT_DISTURB,4.5,MINIMAL,0.009874097803433034,0.7,0.2,0
335-4719,STANDARD_UPSELL,30.852744626662783,LOW,0.017054892533255685,0.3,0.0,5
330-8173,DO_NOT_DISTURB,4.0,MINIMAL,0.01943090024214332,0.7999999999999999,0.0,0
329-6603,PRIORITY_UPSELL_RETENTION,85.32583773237847,HIGH,0.010861257745948974,0.0,1.0,4
344-9403,STANDARD_UPSELL,30.58483848109002,LOW,0.011696769621800438,0.7,0.2,5
363-1107,STANDARD_UPSELL,30.40958853797789,LOW,0.00819177075955777,0.3,0.2,5
394-8006,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.012789755994494901,0.3,0.5,1
366-9238,FIX_FIRST_THEN_UPSELL,82.0,HIGH,0.012313630423550296,0.3,0.5,1
351-7269,PRIORITY_UPSELL_RETENTION,85.68432093110538,HIGH,0.022810697703512416,0.1,0.8,4
350-8884,STANDARD_UPSELL,30.700106438324838,LOW,0.014002128766496733,0.3,0.2,5
386-2923,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.012448746397691968,0.3,0.5,1
356-2992,STANDARD_UPSELL,30.633855898427193,LOW,0.012677117968543868,0.3,0.2,5
373-2782,STANDARD_UPSELL,30.677865339370896,LOW,0.013557306787417957,0.3,0.2,5
396-5800,DO_NOT_DISTURB,4.5,MINIMAL,0.013372201523553005,0.7,0.2,0
393-7984,PRIORITY_UPSELL_RETENTION,85.17815592120158,HIGH,0.00593853070671918,0.0,1.0,4
358-1958,DO_NOT_DISTURB,4.5,MINIMAL,0.009866281883310173,0.7,0.2,0
350-2565,STANDARD_UPSELL,30.38712195845754,LOW,0.007742439169150797,0.3,0.2,5
343-4696,DO_NOT_DISTURB,4.5,MINIMAL,0.010186826673758939,0.7,0.2,0
331-3698,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.01418039390941337,0.3,0.5,1
357-3817,STANDARD_UPSELL,30.658541702375384,LOW,0.013170834047507657,0.7,0.2,5
418-6412,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.0077841768228745995,0.3,0.5,1
353-2630,GENTLE_UPSELL,50.518688164156806,MEDIUM,0.012967204103920086,0.7,0.2,2
410-7789,STANDARD_UPSELL,30.464803661299683,LOW,0.009296073225993648,0.3,0.2,5
416-8428,STANDARD_UPSELL,30.415011161713828,LOW,0.00830022323427659,0.3,0.2,5
370-3359,STANDARD_UPSELL,30.762922696585793,LOW,0.015258453931715857,0.3,0.2,5
383-1121,FIX_FIRST_THEN_UPSELL,79.0,HIGH,0.012601262703512374,0.3,0.5,1
