Phone Number,Customer_Category,Priority_Score,Satisfaction_Score,Customer_Value_Score,Account Length,Total_Charges
358-1921,DO_NOT_DISTURB,4.5,0.7,0.013928053769441952,137,62.290000000000006
391-8027,DO_NOT_DISTURB,4.5,0.7,0.015321673189536835,118,67.61
329-9001,DO_NOT_DISTURB,4.5,0.7,0.009874097803433034,147,46.900000000000006
330-8173,DO_NOT_DISTURB,4.0,0.7999999999999999,0.01943090024214332,141,80.53999999999999
396-5800,DO_NOT_DISTURB,4.5,0.7,0.013372201523553005,147,59.0
358-1958,DO_NOT_DISTURB,4.5,0.7,0.009866281883310173,130,48.06
343-4696,DO_NOT_DISTURB,4.5,0.7,0.010186826673758939,132,48.08
365-9011,DO_NOT_DISTURB,4.5,0.7,0.009363399875092328,113,46.88
413-7170,DO_NOT_DISTURB,4.5,0.7,0.016361117495399837,162,68.96
362-5889,DO_NOT_DISTURB,4.5,0.7,0.014068100572957582,85,65.16
388-6441,DO_NOT_DISTURB,4.5,0.7,0.015369030629889712,128,66.53999999999999
347-7741,DO_NOT_DISTURB,4.5,0.7,0.011826822265354755,108,56.129999999999995
354-3783,DO_NOT_DISTURB,4.5,0.7,0.009649980731957442,135,46.849999999999994
374-3534,DO_NOT_DISTURB,4.5,0.7,0.01526965879080015,120,67.04
401-3926,DO_NOT_DISTURB,4.5,0.7,0.016585616037528825,151,69.83
328-6289,DO_NOT_DISTURB,4.5,0.7,0.014496693915822888,139,63.150000000000006
360-5779,DO_NOT_DISTURB,4.5,0.7,0.008704177077226703,87,45.92
417-4885,DO_NOT_DISTURB,4.5,0.7,0.016988727946475952,141,72.08999999999999
415-2393,DO_NOT_DISTURB,4.5,0.7,0.01479351134071826,179,62.61999999999999
418-4365,DO_NOT_DISTURB,4.5,0.7,0.008848012647682117,107,45.54
407-8376,DO_NOT_DISTURB,4.5,0.7,0.01026448093585322,94,51.019999999999996
346-7795,DO_NOT_DISTURB,4.5,0.7,0.015695563917346993,144,67.6
328-6770,DO_NOT_DISTURB,4.5,0.7,0.010621391482458905,93,52.279999999999994
356-1567,DO_NOT_DISTURB,4.5,0.7,0.012247822393067513,106,57.68
393-9619,DO_NOT_DISTURB,4.5,0.7,0.008297962774239052,215,37.58
400-5751,DO_NOT_DISTURB,4.5,0.7,0.01255093790966541,138,57.209999999999994
385-8240,DO_NOT_DISTURB,4.5,0.7,0.0057167067030131705,107,33.67
349-2808,DO_NOT_DISTURB,4.5,0.7,0.010882831369024027,86,53.01
411-1715,DO_NOT_DISTURB,4.5,0.7,0.01253730504697991,97,58.599999999999994
410-3390,DO_NOT_DISTURB,4.5,0.7,0.015654952473773714,101,69.42999999999999
416-3915,DO_NOT_DISTURB,4.5,0.7,0.015568403340007508,148,67.04
335-5882,DO_NOT_DISTURB,4.5,0.7,0.014391698805060364,167,61.83
393-6733,DO_NOT_DISTURB,4.5,0.7,0.01825492695096433,199,73.48
335-1838,DO_NOT_DISTURB,4.5,0.7,0.006560719606865732,132,36.14
341-3464,DO_NOT_DISTURB,4.5,0.7,0.013207498571865296,112,60.559999999999995
359-5890,DO_NOT_DISTURB,4.5,0.7,0.012100327686899545,128,55.29
330-7483,DO_NOT_DISTURB,4.5,0.7,0.014770507579259368,86,66.60000000000001
360-2479,DO_NOT_DISTURB,4.5,0.7,0.012739040738557172,104,58.690000000000005
359-8466,DO_NOT_DISTURB,4.5,0.7,0.006614800451078459,100,37.43
362-2314,DO_NOT_DISTURB,4.5,0.7,0.014364771383163782,158,62.81
365-8779,DO_NOT_DISTURB,4.5,0.7,0.013971048986417886,108,63.07
397-4304,DO_NOT_DISTURB,4.5,0.7,0.013592801972865016,99,62.36
351-2587,DO_NOT_DISTURB,4.5,0.7,0.011135610917482679,148,50.86
328-9869,DO_NOT_DISTURB,4.5,0.7,0.013519799654520007,194,57.33
385-6778,DO_NOT_DISTURB,4.5,0.7,0.015478243215573815,128,67.75
370-2957,DO_NOT_DISTURB,4.5,0.7,0.0127684467590013,87,60.59
332-9460,DO_NOT_DISTURB,4.5,0.7,0.01227305875111915,149,55.050000000000004
376-9249,DO_NOT_DISTURB,4.5,0.7,0.013370210123710124,98,62.71
339-7139,DO_NOT_DISTURB,4.5,0.7,0.010423204219425863,84,51.77
421-9401,DO_NOT_DISTURB,4.5,0.7,0.015550465982561686,92,70.06
416-5662,DO_NOT_DISTURB,4.5,0.7,0.016543333264599506,85,73.83
417-4404,DO_NOT_DISTURB,4.5,0.7,0.015290632488090698,117,67.72
396-5189,DO_NOT_DISTURB,4.5,0.7,0.01604849341857018,100,70.96999999999998
336-2090,DO_NOT_DISTURB,4.5,0.7,0.012581394052668018,99,58.89
411-4232,DO_NOT_DISTURB,4.5,0.7,0.012033920006357722,85,57.27
339-2616,DO_NOT_DISTURB,4.5,0.7,0.01645173819636466,86,72.99000000000001
327-3850,DO_NOT_DISTURB,4.5,0.7,0.012981599053897654,91,60.12
