Phone Number,Customer_Category,Priority_Score,Priority_Level,Customer_Value_Score,Satisfaction_Score,Risk_Score,CustServ Calls,Account Length,Total_Charges
329-6603,PRIORITY_UPSELL_RETENTION,85.32583773237847,HIGH,0.010861257745948974,0.0,1.0,4,65,54.2
351-7269,PRIORITY_UPSELL_RETENTION,85.68432093110538,HIGH,0.022810697703512416,0.1,0.8,4,161,92.29
393-7984,PRIORITY_UPSELL_RETENTION,85.17815592120158,HIGH,0.00593853070671918,0.0,1.0,5,77,36.019999999999996
360-1596,PRIORITY_UPSELL_RETENTION,85.51947725870228,HIGH,0.01731590862340922,0.0,0.5,1,12,79.67999999999999
383-6029,PRIORITY_UPSELL_RETENTION,85.3670602860988,HIGH,0.01223534286996041,0.4,0.7,0,135,56.199999999999996
398-1294,PRIORITY_UPSELL_RETENTION,85.35688476019816,HIGH,0.011896158673271748,0.0,1.0,5,119,55.53
353-3759,PRIORITY_UPSELL_RETENTION,85.35092101555757,HIGH,0.011697367185252612,0.0,1.0,5,87,56.14
370-7574,PRIORITY_UPSELL_RETENTION,85.30723348392218,HIGH,0.010241116130739247,0.0,1.0,3,121,49.849999999999994
374-8042,PRIORITY_UPSELL_RETENTION,85.36531160537571,HIGH,0.012177053512523668,0.0,1.0,4,150,55.199999999999996
374-5353,PRIORITY_UPSELL_RETENTION,85.56359565381415,HIGH,0.01878652179380503,0.4,0.5,0,82,81.75
360-1171,PRIORITY_UPSELL_RETENTION,85.1268161429171,HIGH,0.004227204763903268,0.0,1.0,4,144,27.02
395-3026,PRIORITY_UPSELL_RETENTION,85.4656974284355,HIGH,0.015523247614516894,0.0,0.7,2,106,68.94
402-1251,PRIORITY_UPSELL_RETENTION,85.30591733907728,HIGH,0.0101972446359095,0.0,1.0,4,94,50.709999999999994
358-9095,PRIORITY_UPSELL_RETENTION,85.5232200756717,HIGH,0.017440669189056852,0.0,0.7,1,128,74.64
334-1275,PRIORITY_UPSELL_RETENTION,85.42752974448806,HIGH,0.014250991482935106,0.4,0.7,0,155,62.03
355-6291,PRIORITY_UPSELL_RETENTION,85.41842546375914,HIGH,0.013947515458637663,0.0,0.7,1,120,62.809999999999995
362-9748,PRIORITY_UPSELL_RETENTION,85.50918554155574,HIGH,0.01697285138519134,0.0,0.5,2,77,75.32000000000001
363-1069,PRIORITY_UPSELL_RETENTION,85.41487672650219,HIGH,0.013829224216739674,0.4,0.7,0,36,66.75
355-6837,PRIORITY_UPSELL_RETENTION,85.51635454212825,HIGH,0.017211818070941645,0.0,0.7,1,74,76.91000000000001
335-4858,PRIORITY_UPSELL_RETENTION,85.20127969300044,HIGH,0.00670932310001479,0.0,1.0,4,162,34.84
414-8718,PRIORITY_UPSELL_RETENTION,85.33931606304414,HIGH,0.01131053543480454,0.0,1.0,4,61,56.23
390-2390,PRIORITY_UPSELL_RETENTION,85.38424183434095,HIGH,0.012808061144698641,0.0,0.7,2,117,58.53
370-9116,PRIORITY_UPSELL_RETENTION,85.61065627350273,HIGH,0.020355209116757582,0.4,0.5,0,83,87.89
372-3750,PRIORITY_UPSELL_RETENTION,85.15277821827397,HIGH,0.00509260727579866,0.0,1.0,5,126,31.05
378-3625,PRIORITY_UPSELL_RETENTION,85.61126736941337,HIGH,0.02037557898044576,0.0,0.7,2,208,81.57000000000001
353-7292,PRIORITY_UPSELL_RETENTION,85.58621073800302,HIGH,0.01954035793343377,0.0,0.8,4,131,81.97999999999999
366-6345,PRIORITY_UPSELL_RETENTION,85.41881624061331,HIGH,0.01396054135377686,0.0,0.7,2,70,65.97
